file1 file2 intersection union jaccard n_intersections
fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed 33707600 143630230 0.234683 66530
fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed 35305111 155913195 0.226441 67177
fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed 54821178 121410031 0.451537 115146
fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed 63396469 63396469 1 131946
fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed 53181893 110372335 0.481841 115638
fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS17808.hg19.hotspot.twopass.fdr0.05.merge.bed 55528692 106000519 0.523853 116712
fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS18495.hg19.hotspot.twopass.fdr0.05.merge.bed 48665871 101204192 0.480868 105466
fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed fKidney_renal_cortex_L-DS17550.hg19.hotspot.twopass.fdr0.05.merge.bed 39388866 146228488 0.269365 78023
fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed fLung_L-DS17154.hg19.hotspot.twopass.fdr0.05.merge.bed 40706767 162085462 0.251144 78018
fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed fLung_L-DS18421.hg19.hotspot.twopass.fdr0.05.merge.bed 39688385 147908835 0.26833 77106
fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed fLung_R-DS15632.hotspot.twopass.fdr0.05.merge.bed 35927182 131242712 0.273746 70737
fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed fMuscle_arm-DS19053.hg19.hotspot.twopass.fdr0.05.merge.bed 33256772 137384363 0.242071 65283
fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed fMuscle_back-DS18454.hg19.hotspot.twopass.fdr0.05.merge.bed 33343455 138046221 0.241538 67492
fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed fMuscle_leg-DS19115.hg19.hotspot.twopass.fdr0.05.merge.bed 32598372 135647328 0.240317 65281
fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed fMuscle_leg-DS19158.hg19.hotspot.twopass.fdr0.05.merge.bed 33889766 161102122 0.210362 66983
fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed fSkin_fibro_bicep_R-DS19745.hg19.hotspot.twopass.fdr0.05.merge.bed 20436128 107412733 0.190258 57180
fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed fStomach-DS17659.hg19.hotspot.twopass.fdr0.05.merge.bed 34539698 100296626 0.344375 83025
fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed fBrain-DS14718.hotspot.twopass.fdr0.05.merge.bed 32146153 159445842 0.201612 71285
fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed fBrain-DS16302.hotspot.twopass.fdr0.05.merge.bed 33332310 181508215 0.183641 62065
fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed fHeart-DS15643.hotspot.twopass.fdr0.05.merge.bed 41711575 160514372 0.259862 79614
fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed fHeart-DS15839.hotspot.twopass.fdr0.05.merge.bed 40950558 173148562 0.236505 81050
fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed fHeart-DS16621.hotspot.twopass.fdr0.05.merge.bed 45418725 182560871 0.248787 84247
fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS16559.hotspot.twopass.fdr0.05.merge.bed 80482623 132509876 0.607371 152732
fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS16712.hg19.hotspot.twopass.fdr0.05.merge.bed 53181893 110372335 0.481841 115638
fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed 100157759 100157759 1 191311
fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS17808.hg19.hotspot.twopass.fdr0.05.merge.bed 74254274 124036227 0.59865 149855
fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed fIntestine_Sm-DS18495.hg19.hotspot.twopass.fdr0.05.merge.bed 67737628 118893725 0.569733 132722
fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed fKidney_renal_cortex_L-DS17550.hg19.hotspot.twopass.fdr0.05.merge.bed 49929599 172449045 0.289532 97235
fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed fLung_L-DS17154.hg19.hotspot.twopass.fdr0.05.merge.bed 53068077 186485442 0.28457 100627
fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed fLung_L-DS18421.hg19.hotspot.twopass.fdr0.05.merge.bed 51805257 172553253 0.300228 98715
fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed fLung_R-DS15632.hotspot.twopass.fdr0.05.merge.bed 45818203 158112981 0.289781 89639
fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed fMuscle_arm-DS19053.hg19.hotspot.twopass.fdr0.05.merge.bed 42310497 165091928 0.256284 82778
fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed fMuscle_back-DS18454.hg19.hotspot.twopass.fdr0.05.merge.bed 42779298 165371668 0.258686 86453
fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed fMuscle_leg-DS19115.hg19.hotspot.twopass.fdr0.05.merge.bed 41754212 163252778 0.255764 83272
fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed fMuscle_leg-DS19158.hg19.hotspot.twopass.fdr0.05.merge.bed 44578524 187174654 0.238165 86620
fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed fSkin_fibro_bicep_R-DS19745.hg19.hotspot.twopass.fdr0.05.merge.bed 25524890 139085261 0.18352 71031
fIntestine_Sm-DS16822.hotspot.twopass.fdr0.05.merge.bed fStomach-DS17659.hg19.hotspot.twopass.fdr0.05.merge.bed 45024143 126573471 0.355715 108196
