peak_type,cell,k,w,n_xref,n_diff,median_xref_reg,median_diff_reg,delta_reg,separated_reg,median_xref_ie,median_diff_ie,delta_ie,separated_ie
narrow,k10_w25,10,25,18,54,0.9881104684567358,0.8839151404246081,0.10419532803212772,TRUE,0.988117243892738,0.8839102668521476,0.10420697704059056,TRUE
narrow,k10_w30,10,30,18,54,0.9873622494123536,0.8804724937269574,0.10688975568539616,TRUE,0.9873386858300596,0.8804627904651616,0.10687589536489785,TRUE
narrow,k10_w50,10,50,18,54,0.983135998645235,0.8715785874072068,0.1115574112380282,TRUE,0.9831131970815594,0.8715930720141589,0.1115201250674005,TRUE
narrow,k10_w75,10,75,18,54,0.9803961945554136,0.8671679724421854,0.11322822211322836,TRUE,0.9804109439383338,0.8673605293288961,0.11305041460943777,TRUE
narrow,k15_w15,15,15,18,54,0.953080749679622,0.4174433896637038,0.5356373600159181,TRUE,0.9495153049920144,0.3916915239847526,0.5578237810072617,TRUE
narrow,k15_w20,15,20,18,54,0.9507140790180392,0.4102918446601942,0.5404222343578451,TRUE,0.94788283152278,0.3906161745158742,0.5572666570069058,TRUE
narrow,k15_w25,15,25,18,54,0.9488053154344804,0.4056894295351989,0.5431158858992815,TRUE,0.9464221558386592,0.38981224919908497,0.5566099066395742,TRUE
narrow,k15_w30,15,30,18,54,0.9472459408087934,0.40245738669553105,0.5447885541132624,TRUE,0.9452370664303696,0.3893873512730376,0.5558497151573318,TRUE
narrow,k15_w50,15,50,18,54,0.9427887969303343,0.3955178906424205,0.5472709062879139,TRUE,0.9415982097751416,0.3881157721298007,0.5534824376453408,TRUE
narrow,k15_w75,15,75,18,54,0.939883807861528,0.3914044541918629,0.548479353669665,TRUE,0.9391222409454616,0.3866581553267786,0.5524640856186829,TRUE
narrow,k20_w20,20,20,18,54,0.9370836716977526,0.36132597122405374,0.5757577004736989,TRUE,0.9323529204617356,0.3337849421341554,0.5985679783275801,TRUE
narrow,k20_w25,20,25,18,54,0.9347548148609556,0.35592972119614735,0.5788250936648083,TRUE,0.930803946733903,0.3334975498087879,0.5973063969251151,TRUE
narrow,k20_w30,20,30,18,54,0.9327862098649418,0.3523527792613864,0.5804334306035553,TRUE,0.9293507576458522,0.33317422895312965,0.5961765286927225,TRUE
narrow,k20_w35,20,35,18,54,0.9311362339581126,0.3495364570283137,0.5815997769297989,TRUE,0.9280693289648938,0.33307353122590866,0.5949957977389851,TRUE
narrow,k20_w40,20,40,18,54,0.9295776616300142,0.34716034849429095,0.5824173131357233,TRUE,0.9268464750839992,0.3328100823986075,0.5940363926853918,TRUE
narrow,k20_w50,20,50,18,54,0.9271686398935866,0.3434424406741065,0.58372619921948,TRUE,0.924910726002119,0.3320114231185037,0.5928993028836154,TRUE
narrow,k20_w60,20,60,18,54,0.9252069919024252,0.34093754282401306,0.5842694490784122,TRUE,0.9232622921683884,0.3314841612531451,0.5917781309152432,TRUE
narrow,k20_w75,20,75,18,54,0.9228132483722368,0.33851685200749476,0.5842963963647421,TRUE,0.9211897367546658,0.33096789472946864,0.5902218420251971,TRUE
narrow,k25_w25,25,25,18,54,0.9263401830349568,0.3515486648072489,0.5747915182277079,TRUE,0.9217474890117268,0.3283435909862715,0.5934038980254551,TRUE
narrow,k25_w30,25,30,18,54,0.9242233668383733,0.34748546386655776,0.5767379029718155,TRUE,0.9202479752905388,0.3278980711679096,0.5923499041226291,TRUE
narrow,k25_w35,25,35,18,54,0.9223177281416932,0.344419575639946,0.5778981525017473,TRUE,0.9187796636604592,0.32760127272967643,0.5911783909307828,TRUE
narrow,k25_w40,25,40,18,54,0.9206186096835272,0.34199494876269954,0.5786236609208276,TRUE,0.9174125357473134,0.3273056639585807,0.5901068717887328,TRUE
narrow,k25_w50,25,50,18,54,0.917790288631424,0.3384927477360504,0.5792975408953734,TRUE,0.9150879693296,0.3267502597477116,0.5883377095818885,TRUE
narrow,k25_w60,25,60,18,54,0.9154669455508332,0.33597839523655615,0.5794885503142772,TRUE,0.9131208524270658,0.32630445855256224,0.5868163938745035,TRUE
narrow,k25_w75,25,75,18,54,0.9128515792358376,0.3334136197374583,0.5794379594983792,TRUE,0.9108864257599978,0.3260222512319246,0.5848641745280732,TRUE
narrow,k30_w30,30,30,18,54,0.9159016067465676,0.34348787834998834,0.5724137283965793,TRUE,0.9114342656107156,0.3243943021222864,0.5870399634884291,TRUE
narrow,k30_w35,30,35,18,54,0.9138251414560228,0.34018728501124174,0.573637856444781,TRUE,0.9098737796236288,0.3241606921049201,0.5857130875187087,TRUE
narrow,k30_w40,30,40,18,54,0.9120019457454516,0.33788859716992287,0.5741133485755288,TRUE,0.9084803805900364,0.324116652908093,0.5843637276819433,TRUE
narrow,k30_w50,30,50,18,54,0.9088433139987516,0.33476006075744713,0.5740832532413046,TRUE,0.9059861552566733,0.3238541445355706,0.5821320107211025,TRUE
narrow,k30_w60,30,60,18,54,0.9061737433838376,0.3327346669494923,0.5734390764343453,TRUE,0.9037281915235772,0.3236715665502451,0.5800566249733321,TRUE
narrow,k30_w75,30,75,18,54,0.9028866436578808,0.33034712558190493,0.5725395180759759,TRUE,0.9008482476958548,0.3231440030182433,0.5777042446776114,TRUE
narrow,k35_w35,35,35,18,54,0.9060200773126652,0.3379006041100246,0.5681194732026407,TRUE,0.9017778885070432,0.3217299560088058,0.5800479324982375,TRUE
narrow,k35_w40,35,40,18,54,0.904224699338942,0.3359112653282213,0.5683134340107208,TRUE,0.900408849937702,0.3218004496511478,0.5786084002865541,TRUE
narrow,k35_w50,35,50,18,54,0.9008698790926049,0.3327181841855993,0.5681516949070056,TRUE,0.8976740948009224,0.3215843726096055,0.5760897221913169,TRUE
narrow,k35_w60,35,60,18,54,0.8980661039974787,0.3307718972659205,0.5672942067315582,TRUE,0.8953192701671504,0.3215211191309051,0.5737981510362453,TRUE
narrow,k35_w75,35,75,18,54,0.8943372991779643,0.3283413464952213,0.565995952682743,TRUE,0.8920245018132644,0.32105627719073365,0.5709682246225307,TRUE
narrow,k40_w40,40,40,18,54,0.8962995171244447,0.334414613082404,0.5618849040420406,TRUE,0.8921888297097608,0.32041410209457305,0.5717747276151877,TRUE
narrow,k40_w50,40,50,18,54,0.8928946460973253,0.33143429752435827,0.561460348572967,TRUE,0.8894796680699185,0.32026925414816465,0.5692104139217539,TRUE
narrow,k40_w60,40,60,18,54,0.8897161363102449,0.32918661506092267,0.5605295212493222,TRUE,0.8867692216379284,0.3194562222462228,0.5673129993917057,TRUE
narrow,k40_w75,40,75,18,54,0.8857560298343612,0.3269449315660036,0.5588110982683576,TRUE,0.8832603854872987,0.31832019379870413,0.5649401916885946,TRUE
narrow,k50_w50,50,50,18,54,0.8775758661864421,0.32865558171173237,0.5489202844747098,TRUE,0.8736776187542036,0.3140588776679398,0.5596187410862639,TRUE
narrow,k50_w60,50,60,18,54,0.8744673801919753,0.3267724742956838,0.5476949058962916,TRUE,0.8710845284988599,0.31342632745596394,0.5576582010428959,TRUE
narrow,k50_w75,50,75,18,54,0.8702961864957318,0.32415030642193465,0.5461458800737972,TRUE,0.8675575546262111,0.3123867989807873,0.5551707556454237,TRUE
