precision,num_files,build,arm,run_index,order_position,threads,num_intervals,n_pairs,sketch_time,comparison_time,pair_time,write_time,wall_time,cpu_time,max_rss_mb,us_per_pair,binary_md5,hostname,cpu_model,cpu_count,slurm_job_id,git_sha,corpus_seed
20,64,post,metrics,3,2,16,10000,4096,12.792992,0.341191,0.334354,0.006836,13.151110410690308,172.09083799999965,149.20703125,81.62939453125,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
20,64,pre,metrics,3,3,16,10000,4096,12.832716,0.577722,0.570805,0.006916,13.426589250564575,175.7815480000001,149.19140625,139.356689453125,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
20,64,pre,no_metrics,4,0,16,10000,4096,12.831143,0.213476,0.212075,0.0014,13.060574531555176,170.01838299999983,149.22265625,51.776123046875,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
20,64,post,metrics,4,1,16,10000,4096,12.802797,0.339257,0.332298,0.006958,13.158347368240356,172.2596770000006,149.21484375,81.12744140625,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
20,64,pre,metrics,4,2,16,10000,4096,12.825753,0.577231,0.570318,0.006913,13.418731689453125,175.70439499999983,149.19140625,139.23779296875,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
20,64,post,no_metrics,4,3,16,10000,4096,12.815065,0.204999,0.203657,0.001341,13.03685212135315,170.11711599999938,149.19921875,49.720947265625,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
22,64,pre,no_metrics,0,0,16,10000,4096,34.35398,0.775343,0.77391,0.001433,35.15694785118103,312.14223000000095,581.73828125,188.94287109375,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
22,64,pre,metrics,0,1,16,10000,4096,34.090103,2.32349,2.316534,0.006955,36.441792011260986,331.8110369999988,581.74609375,565.56005859375,322e971877b5,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
22,64,post,no_metrics,0,2,16,10000,4096,34.121087,0.775044,0.773659,0.001385,34.9236958026886,312.5935760000001,581.73828125,188.881591796875,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
22,64,post,metrics,0,3,16,10000,4096,33.971854,1.338953,1.331971,0.006982,35.33964490890503,318.74280400000004,581.73828125,325.188232421875,3613d0803912,sr09,Intel(R) Xeon(R) Gold 6448Y,16,29628907,bd3c7ee-dirty,20260808
