Accession	File	Target_of_Assay	Biosample_term_name	Organism
ENCSR000CBI	ENCFF447SUY	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF909QYM	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF458UVF	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF656JFF	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF443POS	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF631QLR	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF572CZB	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF951GOP	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF227USR	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF895HRS	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF994YHB	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF792MAK	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF708ETQ	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF844WZZ	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF879SSJ	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF150ITM	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF810VRK	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF809JIR	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF781LYI	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF341VMV	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF193BUF	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF147IYR	CTCF	heart	ENCAB210NHK
ENCSR000CBI	ENCFF573BPY	CTCF	heart	ENCAB210NHK
ENCSR000CBJ	ENCFF001LKM	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF001LKN	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF001LKO	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF001LKR	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF001LKY	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF001LLE	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF001YAI	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF488MEI	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF897RYO	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF265AMZ	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF147QPL	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF237XJD	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF571CYW	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF594EHQ	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF821ICZ	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF420ODU	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF147CTE	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF601AJL	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF164ZFD	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF523FYC	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF311HPG	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF946DCA	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF258WBW	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF081LJA	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF106JNO	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF639BFP	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF171XNQ	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF720BLF	CTCF	kidney	ENCAB210NHK
ENCSR000CBJ	ENCFF334NJS	CTCF	kidney	ENCAB210NHK
