"accession","species","tissue"
"ENCFF577XAL","Mus_musculus","lung"
"ENCFF581SHO","Mus_musculus","lung"
"ENCFF582DVH","Mus_musculus","stomach"
"ENCFF583KRZ","Homo_sapiens","kidney"
"ENCFF583OFO","Mus_musculus","lung"
"ENCFF583YQU","Mus_musculus","liver"
"ENCFF585CEV","Mus_musculus","liver"
"ENCFF585RDW","Mus_musculus","stomach"
"ENCFF585VXE","Mus_musculus","lung"
"ENCFF586TEQ","Mus_musculus","liver"
"ENCFF589OLZ","Mus_musculus","liver"
"ENCFF589ZNO","Homo_sapiens","cerebellum"
"ENCFF590RYV","Mus_musculus","kidney"
"ENCFF591SWN","Mus_musculus","liver"
"ENCFF592SOL","Mus_musculus","liver"
"ENCFF594YOK","Mus_musculus","liver"
"ENCFF599FUW","Homo_sapiens","kidney"
"ENCFF599TJR","Mus_musculus","liver"
"ENCFF601PGM","Homo_sapiens","stomach"
"ENCFF601QOX","Mus_musculus","stomach"
"ENCFF603UFF","Mus_musculus","kidney"
"ENCFF606DRR","Mus_musculus","cerebellum"
"ENCFF607BGW","Mus_musculus","lung"
"ENCFF613YVK","Mus_musculus","kidney"
"ENCFF614EDS","Mus_musculus","kidney"
"ENCFF618OJP","Mus_musculus","liver"
"ENCFF619YCE","Mus_musculus","liver"
"ENCFF620UDO","Mus_musculus","stomach"
"ENCFF631ZAK","Mus_musculus","lung"
"ENCFF632GVF","Mus_musculus","liver"
"ENCFF634UPL","Mus_musculus","lung"
"ENCFF635EAE","Mus_musculus","liver"
"ENCFF636JWE","Mus_musculus","lung"
"ENCFF640GAV","Mus_musculus","kidney"
"ENCFF640TJY","Mus_musculus","lung"
"ENCFF640ZNR","Homo_sapiens","liver"
"ENCFF643BVB","Mus_musculus","cerebellum"
"ENCFF643PXV","Mus_musculus","liver"
"ENCFF643RJC","Mus_musculus","stomach"
"ENCFF643SRL","Mus_musculus","liver"
"ENCFF646DID","Mus_musculus","stomach"
"ENCFF646JQE","Mus_musculus","liver"
"ENCFF650NXL","Mus_musculus","stomach"
"ENCFF650RDT","Mus_musculus","liver"
"ENCFF651NTT","Homo_sapiens","kidney"
"ENCFF651RIK","Mus_musculus","liver"
"ENCFF654QPP","Mus_musculus","liver"
"ENCFF654SUU","Homo_sapiens","liver"
"ENCFF655PRM","Mus_musculus","liver"
"ENCFF656BQK","Mus_musculus","lung"
"ENCFF657FRT","Mus_musculus","stomach"
